ApplyPatchToFileEx,6
Arc,9
ArcTo,9
AreAllAccessesGranted,2
AreAnyAccessesGranted,2
AreFileApisANSI,0
AreFileApisANSI,1
ArrangeIconicWindows,1
asctime,1
asctime_s,3
asin,1
asinf,1
AssignProcessToJobObject,2
AssocCreate,3
AssocCreateForClasses,4
AssocGetDetailsOfPropKey,5
AssocGetPerceivedType,4
AssociateColorProfileWithDevice,3
AssocIsDangerous,1
AssocQueryKey,5
AssocQueryKeyA,5
AssocQueryKeyW,5
AssocQueryString,6
AssocQueryStringA,6
AssocQueryStringByKey,6
AssocQueryStringByKeyA,6
AssocQueryStringByKeyW,6
AssocQueryStringW,6
AsyncInstallDistributionUnit,9
atan,1
atan2,2
atan2f,2
atanf,1
atexit,1
atodbl,2
atodbl_l,3
atof,1
atof_l,2
atoflt,2
atoflt_l,3
atoi,1
atoi64,1
atoi64_l,2
atoi_l,2
atol,1
atoldbl,2
atoldbl_l,3
atol_l,2
AttachConsole,1
AttachThreadInput,3
AttachVirtualDisk,6
AuditComputeEffectivePolicyBySid,4
AuditComputeEffectivePolicyByToken,4
AuditEnumerateCategories,2
AuditEnumeratePerUserPolicy,1
AuditEnumerateSubCategories,4
AuditFree,1
AuditLookupCategoryGuidFromCategoryId,2
AuditLookupCategoryIdFromCategoryGuid,2
AuditLookupCategoryName,2
AuditLookupSubCategoryName,2
AuditQueryGlobalSacl,2
AuditQueryPerUserPolicy,4
AuditQuerySecurity,2
AuditQuerySystemPolicy,3
AuditSetGlobalSacl,2
AuditSetPerUserPolicy,3
AuditSetSecurity,2
AuditSetSystemPolicy,2
AuthzAccessCheck,9
AuthzAddSidsToContext,6
AuthzCachedAccessCheck,5
AuthzEnumerateSecurityEventSources,4
AuthzFreeAuditEvent,1
AuthzFreeCentralAccessPolicyCache,0
AuthzFreeContext,1
AuthzFreeHandle,1
AuthzFreeResourceManager,1
AuthzGetInformationFromContext,5
AuthzInitializeCompoundContext,3
AuthzInitializeContextFromAuthzContext,6
AuthzInitializeContextFromSid,7
AuthzInitializeContextFromToken,7
AuthzInitializeObjectAccessAuditEvent2,9
AuthzInitializeObjectAccessAuditEvent,8
AuthzInitializeRemoteResourceManager,2
AuthzInitializeResourceManager,6
AuthzInitializeResourceManagerEx,3
AuthzInstallSecurityEventSource,2
AuthzModifyClaims,4
AuthzModifySecurityAttributes,3
AuthzModifySids,4
AuthzOpenObjectAudit,8
AuthzRegisterCapChangeNotification,3
AuthzRegisterSecurityEventSource,3
AuthzReportSecurityEvent,5
AuthzReportSecurityEventFromParams,5
AuthzSetAppContainerInformation,4
AuthzUninstallSecurityEventSource,2
AuthzUnregisterCapChangeNotification,1
AuthzUnregisterSecurityEventSource,2
auxGetDevCaps,3
auxGetNumDevs,0
auxGetVolume,2
auxOutMessage,4
auxSetVolume,2
AVIBuildFilter,3
AVIClearClipboard,0
AVIFileAddRef,1
AVIFileCreateStream,3
AVIFileEndRecord,1
AVIFileExit,0
AVIFileGetStream,4
AVIFileInfo,3
AVIFileInit,0
AVIFileOpen,4
AVIFileReadData,4
AVIFileRelease,1
AVIFileWriteData,4
AVIGetFromClipboard,1
AVIMakeCompressedStream,4
AVIMakeFileFromStreams,3
AVIMakeStreamFromClipboard,3
AVIPutFileOnClipboard,1
AVISave,6
AVISaveOptions,5
AVISaveOptionsFree,2
AVISaveV,6
AVIStreamAddRef,1
AVIStreamBeginStreaming,4
AVIStreamCreate,4
AVIStreamEndStreaming,1
AVIStreamFindSample,3
AVIStreamGetFrame,2
AVIStreamGetFrameClose,1
AVIStreamGetFrameOpen,2
AVIStreamInfo,3
AVIStreamLength,1
AVIStreamOpenFromFile,6
AVIStreamRead,7
AVIStreamReadData,4
AVIStreamReadFormat,4
AVIStreamRelease,1
AVIStreamSampleToTime,2
AVIStreamSetFormat,4
AVIStreamStart,1
AVIStreamTimeToSample,2
AVIStreamWrite,8
AVIStreamWriteData,4
AvQuerySystemResponsiveness,2
AvRevertMmThreadCharacteristics,1
AvRtCreateThreadOrderingGroup,4
AvRtCreateThreadOrderingGroupEx,5
AvRtDeleteThreadOrderingGroup,1
AvRtJoinThreadOrderingGroup,3
AvRtLeaveThreadOrderingGroup,1
AvRtWaitOnThreadOrderingGroup,1
AvSetMmMaxThreadCharacteristics,3
AvSetMmThreadCharacteristics,2
AvSetMmThreadPriority,2
BackupEventLog,2
BackupRead,7
BackupSeek,6
BackupWrite,7
BarrierAfterRead,1
BaseFormatTimeOut,2
BaseGetNamedObjectDirectory,1
Basep8BitStringToDynamicUnicodeString,2
BCryptAddContextFunction,5
BCryptCloseAlgorithmProvider,2
BCryptConfigureContext,3
BCryptConfigureContextFunction,5
BCryptCreateContext,3
BCryptCreateHash,7
BCryptDecrypt,10
BCryptDeleteContext,2
BCryptDeriveKey,7
BCryptDeriveKeyCapi,5
BCryptDeriveKeyPBKDF2,9
BCryptDestroyHash,1
BCryptDestroyKey,1
BCryptDestroySecret,1
BCryptDuplicateHash,5
BCryptDuplicateKey,5
BCryptEncrypt,10
BCryptEnumAlgorithms,4
BCryptEnumContextFunctionProviders,6
BCryptEnumContextFunctions,5
BCryptEnumContexts,3
BCryptEnumProviders,4
BCryptEnumRegisteredProviders,2
BCryptExportKey,7
BCryptFinalizeKeyPair,2
BCryptFinishHash,4
BCryptFreeBuffer,1
BCryptGenerateKeyPair,4
BCryptGenerateSymmetricKey,7
BCryptGenRandom,4
BCryptGetFipsAlgorithmMode,1
BCryptGetProperty,6
BCryptHashData,4
BCryptImportKey,9
BCryptImportKeyPair,7
BCryptKeyDerivation,6
BCryptOpenAlgorithmProvider,4
BCryptQueryContextConfiguration,4
BCryptQueryContextFunctionConfiguration,6
BCryptQueryContextFunctionProperty,7
BCryptQueryProviderRegistration,5
BCryptRegisterConfigChangeNotify,1
BCryptRemoveContextFunction,4
BCryptResolveProviders,8
BCryptSecretAgreement,4
BCryptSetContextFunctionProperty,7
BCryptSetProperty,5
BCryptSignHash,8
BCryptUnregisterConfigChangeNotify,1
BCryptVerifySignature,7
beep,2
Beep,2
BeginBufferedAnimation,8
BeginBufferedPaint,5
BeginDeferWindowPos,1
BeginIdleDetection,3
BeginPaint,2
BeginPanningFeedback,1
BeginPath,1
beginthread,3
beginthreadex,6
BeginUpdateResource,2
ber_alloc_t,1
ber_bvdup,1
ber_bvecfree,1
ber_bvfree,1
ber_first_element,3
ber_flatten,2
ber_free,2
ber_init,1
ber_next_element,3
ber_peek_tag,2
ber_printf,2
ber_scanf,2
ber_skip_tag,2
bind,3
BindIFilterFromStorage,3
BindIFilterFromStream,3
BindImage,3
BindImageEx,5
BindIoCompletionCallback,3
BindMoniker,4
BitBlt,9
_BitTest64,2
_BitTestAndComplement64,2
_BitTestAndReset64,2
_BitTestAndSet64,2
BlockInput,1
BluetoothAuthenticateDevice,5
BluetoothAuthenticateDeviceEx,5
BluetoothAuthenticateMultipleDevices,4
BluetoothDisplayDeviceProperties,2
BluetoothEnableDiscovery,2
BluetoothEnableIncomingConnections,2
BluetoothEnumerateInstalledServices,4
BluetoothFindDeviceClose,1
BluetoothFindFirstDevice,2
BluetoothFindFirstRadio,2
BluetoothFindNextDevice,2
BluetoothFindNextRadio,2
BluetoothFindRadioClose,1
BluetoothGetDeviceInfo,2
BluetoothGetRadioInfo,2
BluetoothIsConnectable,1
BluetoothIsDiscoverable,1
BluetoothIsVersionAvailable,2
BluetoothRegisterForAuthentication,4
BluetoothRegisterForAuthenticationEx,4
BluetoothRemoveDevice,1
BluetoothSdpEnumAttributes,4
BluetoothSdpGetAttributeValue,4
BluetoothSdpGetContainerElementData,4
BluetoothSdpGetElementData,3
BluetoothSdpGetString,6
BluetoothSelectDevices,1
BluetoothSelectDevicesFree,1
BluetoothSendAuthenticationResponse,3
BluetoothSendAuthenticationResponseEx,2
BluetoothSetLocalServiceInfo,4
BluetoothSetServiceState,4
BluetoothUnregisterAuthentication,1
BluetoothUpdateDeviceRecord,1
BoundCallback,1
BreakMirrorVirtualDisk,1
BringWindowToTop,1
BroadcastSystemMessage,5
BroadcastSystemMessageA,5
BroadcastSystemMessageEx,6
BroadcastSystemMessageExA,6
BroadcastSystemMessageExW,6
BroadcastSystemMessageW,5
BrowseForGPO,1
bsearch,5
bsearch_s,6
BstrFromVector,2
BSTR_UserFree,2
BSTR_UserFree64,2
BSTR_UserMarshal,3
BSTR_UserMarshal64,3
BSTR_UserSize,3
BSTR_UserSize64,3
BSTR_UserUnmarshal,3
BSTR_UserUnmarshal64,3
btowc,1
BufferedPaintClear,2
BufferedPaintInit,0
BufferedPaintRenderAnimation,2
BufferedPaintSetAlpha,3
BufferedPaintStopAllAnimations,1
BufferedPaintUnInit,0
BufferPointerPacketsInteractionContext,3
BuildCommDCB,2
BuildCommDCBAndTimeouts,3
BuildDisplayTable,10
BuildExplicitAccessWithName,5
BuildImpersonateExplicitAccessWithName,6
BuildImpersonateTrustee,2
BuildSecurityDescriptor,9
BuildTrusteeWithName,2
BuildTrusteeWithObjectsAndName,6
BuildTrusteeWithObjectsAndSid,5
BuildTrusteeWithSid,2
byteswap_uint64,1
byteswap_ulong,1
byteswap_ushort,1
cabs,1
CalculatePopupWindowPosition,5
CallbackMayRunLong,1
CallCPLEntry16,6
CallMsgFilter,2
CallMsgFilterA,2
CallMsgFilterW,2
CallNamedPipe,7
callnewh,1
CallNextHookEx,4
CallNtPowerInformation,5
calloc,2
calloc_dbg,5
CallWindowProc,5
CallWindowProcA,5
CallWindowProcW,5
CancelDC,1
CancelIo,1
CancelIoEx,2
CancelIPChangeNotify,1
CancelMibChangeNotify2,1
CancelSecurityHealthChangeNotify,1
CancelSynchronousIo,1
CancelThreadpoolIo,1
CancelWaitableTimer,1
CanSendToFaxRecipient,0
CanShareFolderW,1
CanUserWritePwrScheme,0
CapabilitiesRequestAndCapabilitiesReply,3
capCreateCaptureWindow,8
capGetDriverDescription,5
CascadeWindows,5
CcCanIWrite,4
CcCoherencyFlushAndPurgeCache,5
CcCopyRead,6
CcCopyReadEx,7
CcCopyWrite,5
CcCopyWriteEx,6
CcCopyWriteWontFlush,3
CcDeferWrite,6
CcFastCopyRead,6
CcFastCopyWrite,4
CcFlushCache,4
CcGetCacheFileSize,1
CcGetDirtyPages,4
CcGetFileObjectFromBcb,1
CcGetFileObjectFromSectionPtrs,1
CcGetFileObjectFromSectionPtrsRef,1
CcGetFlushedValidData,2
CcInitializeCacheMap,5
CcIsThereDirtyData,1
CcIsThereDirtyDataEx,2
CcMapData,6
CcMdlReadComplete,2
CcMdlWriteAbort,2
CcMdlWriteComplete,3
CcPinMappedData,5
CcPinRead,6
CcPrepareMdlWrite,5
CcPreparePinWrite,7
CcPurgeCacheSection,4
CcRemapBcb,1
CcRepinBcb,1
CcScheduleReadAhead,3
CcScheduleReadAheadEx,4
CcSetAdditionalCacheAttributes,3
CcSetAdditionalCacheAttributesEx,2
CcSetBcbOwnerPointer,2
CcSetCacheFileSizes,2
CcSetDirtyPageThreshold,2
CcSetDirtyPinnedData,2
CcSetFileSizes,2
CcSetLogHandleForFile,3
CcSetReadAheadGranularity,2
CcUninitializeCacheMap,3
CcUnpinData,1
CcUnpinDataForThread,2
CcUnpinRepinnedBcb,3
CcWaitForCurrentLazyWriterActivity,1
CcZeroData,4
CDefFolderMenu_Create2,9
CdromDisableDigitalPlayback,2
CdromEnableDigitalPlayback,3
CdromIsDigitalPlaybackEnabled,3
CdromKnownGoodDigitalPlayback,2
ceil,1
ceilf,1
CertAddCertificateContextToStore,4
CertAddCertificateLinkToStore,4
CertAddCRLContextToStore,4
CertAddCRLLinkToStore,4
CertAddCTLContextToStore,4
CertAddCTLLinkToStore,4
CertAddEncodedCertificateToStore,6
CertAddEncodedCRLToStore,6
CertAddEncodedCTLToStore,6
CertAddEnhancedKeyUsageIdentifier,2
CertAddRefServerOcspResponse,1
CertAddRefServerOcspResponseContext,1
CertAddSerializedElementToStore,8
CertAddStoreToCollection,4
CertAlgIdToOID,1
CertCloseServerOcspResponse,2
CertCloseStore,2
CertCompareCertificate,3
CertCompareCertificateName,3
CertCompareIntegerBlob,2
CertComparePublicKeyInfo,3
CertControlStore,4
CertCreateCertificateChainEngine,2
CertCreateCertificateContext,3
CertCreateContext,6
CertCreateCRLContext,3
CertCreateCTLContext,3
CertCreateCTLEntryFromCertificateContextProperties,7
CertCreateSelfSignCertificate,8
CertDeleteCertificateFromStore,1
CertDeleteCRLFromStore,1
CertDeleteCTLFromStore,1
CertDuplicateCertificateChain,1
CertDuplicateCertificateContext,1
CertDuplicateCRLContext,1
CertDuplicateCTLContext,1
CertDuplicateStore,1
CertEnumCertificateContextProperties,2
CertEnumCertificatesInStore,2
CertEnumCRLContextProperties,2
CertEnumCRLsInStore,2
CertEnumCTLContextProperties,2
CertEnumCTLsInStore,2
CertEnumPhysicalStore,4
CertEnumSubjectInSortedCTL,4
CertEnumSystemStore,4
CertEnumSystemStoreLocation,3
CertFindAttribute,3
CertFindCertificateInCRL,5
CertFindCertificateInStore,6
CertFindChainInStore,6
CertFindCRLInStore,6
CertFindCTLInStore,6
CertFindExtension,3
CertFindRDNAttr,2
CertFindSubjectInCTL,5
CertFindSubjectInSortedCTL,5
CertFreeCertificateChain,1
CertFreeCertificateChainEngine,1
CertFreeCertificateChainList,1
CertFreeCertificateContext,1
CertFreeCRLContext,1
CertFreeCTLContext,1
CertGetCertificateChain,8
CertGetCertificateContextProperty,4
CertGetCRLContextProperty,4
CertGetCRLFromStore,4
CertGetCTLContextProperty,4
CertGetEnhancedKeyUsage,4
CertGetIntendedKeyUsage,4
CertGetIssuerCertificateFromStore,4
CertGetNameString,6
CertGetPublicKeyLength,2
CertGetServerOcspResponseContext,3
CertGetStoreProperty,4
CertGetSubjectCertificateFromStore,3
CertGetValidUsages,5
CertIsRDNAttrsInCertificateName,4
CertIsStrongHashToSign,3
CertIsValidCRLForCertificate,4
CertModifyCertificatesToTrust,6
CertNameToStr,5
CertOIDToAlgId,1
CertOpenServerOcspResponse,3
CertOpenStore,5
CertOpenSystemStore,2
CertRDNValueToStr,4
CertRegisterPhysicalStore,5
CertRegisterSystemStore,4
CertRemoveEnhancedKeyUsageIdentifier,2
CertRemoveStoreFromCollection,2
CertRetrieveLogoOrBiometricInfo,9
CertSaveStore,6
CertSelectCertificate,1
CertSelectCertificateChains,8
CertSerializeCertificateStoreElement,4
CertSerializeCRLStoreElement,4
CertSerializeCTLStoreElement,4
CertSetCertificateContextPropertiesFromCTLEntry,3
CertSetCertificateContextProperty,4
CertSetCRLContextProperty,4
CertSetCTLContextProperty,4
CertSetEnhancedKeyUsage,2
CertSetStoreProperty,4
CertSrvBackupClose,1
CertSrvBackupEnd,1
CertSrvBackupFree,1
CertSrvBackupGetBackupLogsW,3
CertSrvBackupGetDatabaseNamesW,3
CertSrvBackupGetDynamicFileListW,3
CertSrvBackupOpenFileW,4
CertSrvBackupPrepareW,4
CertSrvBackupRead,4
CertSrvBackupTruncateLogs,1
CertSrvIsServerOnlineW,2
CertSrvRestoreEnd,1
CertSrvRestoreGetDatabaseLocationsW,3
CertSrvRestorePrepareW,3
CertSrvRestoreRegisterComplete,2
CertSrvRestoreRegisterThroughFile,8
CertSrvRestoreRegisterW,8
CertSrvServerControlW,4
CertStrToName,7
CertUnregisterPhysicalStore,3
CertUnregisterSystemStore,2
CertVerifyCertificateChainPolicy,4
CertVerifyCRLRevocation,4
CertVerifyCRLTimeValidity,2
CertVerifyCTLUsage,7
CertVerifyRevocation,7
CertVerifySubjectCertificateContext,3
CertVerifyTimeValidity,2
CertVerifyValidityNesting,2
c_exit,0
cexit,0
cgets,1
cgets_s,3
cgetws,1
cgetws_s,2
ChangeAccountPassword,8
ChangeClipboardChain,2
ChangeDisplaySettings,2
ChangeDisplaySettingsA,2
ChangeDisplaySettingsEx,5
ChangeDisplaySettingsExA,5
ChangeDisplaySettingsExW,5
ChangeDisplaySettingsW,2
ChangeIdleRoutine,7
ChangeServiceConfig,11
ChangeServiceConfig2,3
ChangeTimerQueueTimer,4
ChangeWindowMessageFilter,2
ChangeWindowMessageFilterEx,4
CharLower,1
CharLowerBuff,2
CharLowerWrapW,1
CharNext,1
CharNextExA,3
CharPrev,2
CharPrevExA,4
CharToOem,2
CharToOemBuff,3
CharUpper,1
CharUpperBuff,2
CharUpperBuffWrapW,2
chdir,1
chdrive,1
CheckBitmapBits,9
CheckColors,5
CheckColorsInGamut,4
CheckDeveloperLicense,1
CheckDlgButton,3
CheckElevation,5
CheckElevationEnabled,1
CheckMenuItem,3
CheckMenuRadioItem,5
CheckNameLegalDOS8Dot3,5
CheckParms,2
CheckRadioButton,4
CheckRemoteDebuggerPresent,2
CheckStagingArea,0
CheckSumMappedFile,4
